Schema,Object Type,Object Name,Parent Object Type,Parent Object Name,Row Count,Comment,Data Type,Length,Primary Key,Precision,Scale,Nulls Allowed,Columns,Code,Unique,Foreign Key Name,Reference Model,Reference Table,Reference Column
EDA,Table,Contact,Schema,EDA,,,,,,,,,,,,,,,
EDA,Column,AccountId,Table,Contact,,,reference,18.0,,,,True,,,,Account,EDA,Account,Id
EDA,Column,AssistantName,Table,Contact,,,string,40.0,,,,True,,,,,,,
EDA,Column,AssistantPhone,Table,Contact,,,phone,40.0,,,,True,,,,,,,
EDA,Column,Birthdate,Table,Contact,,,date,0.0,,,,True,,,,,,,
EDA,Column,CleanStatus,Table,Contact,,Picklist Items: In Sync - Matched/Different - Different/Reviewed - Acknowledged/Not Found - NotFound/Inactive - Inactive/Not Compared - Pending/Select Match - SelectMatch/Skipped - Skipped,picklist,40.0,,,,True,,,,,,,
EDA,Column,CreatedById,Table,Contact,,,reference,18.0,,,,False,,,,CreatedBy,EDA,User,Id
EDA,Column,CreatedDate,Table,Contact,,,datetime,0.0,,,,False,,,,,,,
EDA,Column,Department,Table,Contact,,,string,80.0,,,,True,,,,,,,
EDA,Column,Description,Table,Contact,,,textarea,32000.0,,,,True,,,,,,,
EDA,Column,DoNotCall,Table,Contact,,,boolean,0.0,,,,False,,,,,,,
EDA,Column,Email,Table,Contact,,,email,80.0,,,,True,,,,,,,
EDA,Column,EmailBouncedDate,Table,Contact,,,datetime,0.0,,,,True,,,,,,,
EDA,Column,EmailBouncedReason,Table,Contact,,,string,255.0,,,,True,,,,,,,
EDA,Column,Fax,Table,Contact,,,phone,40.0,,,,True,,,,,,,
EDA,Column,FirstName,Table,Contact,,,string,40.0,,,,True,,,,,,,
EDA,Column,Geolocation_Coordinates__c,Table,Contact,,"Help Text: Mailing Latitude, Longitude | Formula: TEXT(Mailing_Lattitude__c) & "","" & TEXT(Mailing_Longitude__c)",string (calculated),1300.0,,,,True,,,,,,,
EDA,Column,HasOptedOutOfEmail,Table,Contact,,,boolean,0.0,,,,False,,,,,,,
EDA,Column,HasOptedOutOfFax,Table,Contact,,,boolean,0.0,,,,False,,,,,,,
EDA,Column,HomePhone,Table,Contact,,,phone,40.0,,,,True,,,,,,,
EDA,Column,Id,Table,Contact,,,id,18.0,TRUE,,,False,,,TRUE,,,,
