,aggregatable,aiPredictionField,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,formulaTreatNullNumberAsZero,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,requiredOnCreate,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sobject,sortable,type,unique,updateable,writeRequiresMasterRead
AccountId,True,False,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Account ID,18,,,AccountId,False,False,True,True,[],False,0,False,,['Account'],Account,,False,False,False,0,True,tns:ID,Contact,True,reference,False,True,False
AssistantName,True,False,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Assistant's Name,40,,,AssistantName,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Contact,True,string,False,True,False
AssistantPhone,True,False,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Asst. Phone,40,,,AssistantPhone,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Contact,True,phone,False,True,False
Birthdate,True,False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Birthdate,0,,,Birthdate,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:date,Contact,True,date,False,True,False
CleanStatus,True,False,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Clean Status,40,,,CleanStatus,False,False,True,True,"[{'active': True, 'defaultValue': False, 'label': 'In Sync', 'validFor': None, 'value': 'Matched'}, {'active': True, 'defaultValue': False, 'label': 'Different', 'validFor': None, 'value': 'Different'}, {'active': True, 'defaultValue': False, 'label': 'Reviewed', 'validFor': None, 'value': 'Acknowledged'}, {'active': True, 'defaultValue': False, 'label': 'Not Found', 'validFor': None, 'value': 'NotFound'}, {'active': True, 'defaultValue': False, 'label': 'Inactive', 'validFor': None, 'value': 'Inactive'}, {'active': True, 'defaultValue': False, 'label': 'Not Compared', 'validFor': None, 'value': 'Pending'}, {'active': True, 'defaultValue': False, 'label': 'Select Match', 'validFor': None, 'value': 'SelectMatch'}, {'active': True, 'defaultValue': False, 'label': 'Skipped', 'validFor': None, 'value': 'Skipped'}]",False,0,False,,[],,,False,False,True,0,False,xsd:string,Contact,True,picklist,False,True,False
CreatedById,True,False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,False,0,False,tns:ID,Contact,True,reference,False,False,False
CreatedDate,True,False,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:dateTime,Contact,True,datetime,False,False,False
Department,True,False,False,240,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Department,80,,,Department,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Contact,True,string,False,True,False
Description,False,False,False,96000,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,plaintextarea,False,,False,False,False,False,False,,Contact Description,32000,,,Description,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Contact,False,textarea,False,True,False
DoNotCall,False,False,False,0,False,,False,False,,,True,False,0,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Do Not Call,0,,,DoNotCall,False,False,False,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:boolean,Contact,True,boolean,False,True,False
