,aggregatable,aiPredictionField,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,formulaTreatNullNumberAsZero,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,requiredOnCreate,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sobject,sortable,type,unique,updateable,writeRequiresMasterRead
Address,False,False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Address,0,,,Address,False,False,True,True,[],False,0,True,,[],,,False,False,False,0,False,urn:address,Lead,False,address,False,False,False
AnnualRevenue,True,False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Annual Revenue,0,,,AnnualRevenue,False,False,True,True,[],False,18,False,,[],,,False,False,False,0,False,xsd:double,Lead,True,currency,False,True,False
City,True,False,False,120,False,,False,False,Address,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,City,40,,,City,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,string,False,True,False
CleanStatus,True,False,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Clean Status,40,,,CleanStatus,False,False,True,True,"[{'active': True, 'defaultValue': False, 'label': 'In Sync', 'validFor': None, 'value': 'Matched'}, {'active': True, 'defaultValue': False, 'label': 'Different', 'validFor': None, 'value': 'Different'}, {'active': True, 'defaultValue': False, 'label': 'Reviewed', 'validFor': None, 'value': 'Acknowledged'}, {'active': True, 'defaultValue': False, 'label': 'Not Found', 'validFor': None, 'value': 'NotFound'}, {'active': True, 'defaultValue': False, 'label': 'Inactive', 'validFor': None, 'value': 'Inactive'}, {'active': True, 'defaultValue': False, 'label': 'Not Compared', 'validFor': None, 'value': 'Pending'}, {'active': True, 'defaultValue': False, 'label': 'Select Match', 'validFor': None, 'value': 'SelectMatch'}, {'active': True, 'defaultValue': False, 'label': 'Skipped', 'validFor': None, 'value': 'Skipped'}]",False,0,False,,[],,,False,False,True,0,False,xsd:string,Lead,True,picklist,False,True,False
Company,True,False,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Company,255,,,Company,False,False,False,False,[],False,0,False,,[],,,True,False,False,0,False,xsd:string,Lead,True,string,False,True,False
CompanyDunsNumber,True,False,False,27,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Company D-U-N-S Number,9,,,CompanyDunsNumber,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,string,False,True,False
ConvertedAccountId,True,False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Converted Account ID,18,,,ConvertedAccountId,False,False,True,False,[],False,0,False,,['Account'],ConvertedAccount,,False,False,False,0,True,tns:ID,Lead,True,reference,False,False,False
ConvertedContactId,True,False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Converted Contact ID,18,,,ConvertedContactId,False,False,True,False,[],False,0,False,,['Contact'],ConvertedContact,,False,False,False,0,True,tns:ID,Lead,True,reference,False,False,False
ConvertedDate,True,False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Converted Date,0,,,ConvertedDate,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:date,Lead,True,date,False,False,False
ConvertedOpportunityId,True,False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Converted Opportunity ID,18,,,ConvertedOpportunityId,False,False,True,False,[],False,0,False,,['Opportunity'],ConvertedOpportunity,,False,False,False,0,True,tns:ID,Lead,True,reference,False,False,False
